Lid,longitude,latitude,address,zipcode
KovZpZAEAl6A-1,-118.30879207,34.06141494,California/Los Angeles/3790 Wilshire Blvd./time_zone:America/Los_Angeles,90010
KovZpZAEd1IA-2,-118.849491,34.175071,California/Thousand Oaks/2100 E. Thousand Oaks/time_zone:America/Los_Angeles,91362
KovZpZAEAl6A-3,-118.30879207,34.06141494,California/Los Angeles/3790 Wilshire Blvd./time_zone:America/Los_Angeles,90010
KovZpa3uCe-4,-118.25558624,34.04263554,California/Los Angeles/842 S. Broadway /time_zone:America/Los_Angeles,90014
ZFr9jZekAA-5,-118.285004,34.027599,California/Los Angeles/665 W. Jefferson Blvd./time_zone:America/Los_Angeles,90007
KovZpZAF6EaA-8,-117.9047684,33.6638834,California/Costa Mesa/100 Fair Drive/time_zone:America/Los_Angeles,92626
KovZpZAJvttA-9,-118.2592392,34.04024506,California/Los Angeles/1050 South Hill Street/time_zone:America/Los_Angeles,90015
KovZpZAJvnvA-10,-118.189191,33.764882,California/Long Beach/300 E Ocean BL/time_zone:America/Los_Angeles,90802
ZFr9jZekAA-11,-118.285004,34.027599,California/Los Angeles/665 W. Jefferson Blvd./time_zone:America/Los_Angeles,90007
KovZpZAEd1IA-12,-118.849491,34.175071,California/Thousand Oaks/2100 E. Thousand Oaks/time_zone:America/Los_Angeles,91362
Z6r9jZ6Fde-13,-118.292,34.125198,California/Los Angeles/2700 N. Vermont Ave./time_zone:America/Los_Angeles,90027
KovZpa3uie-14,-118.3748306,34.0648579,California/Beverly Hills/8440 Wilshire Blvd/time_zone:America/Los_Angeles,90211
KovZpZAEAl6A-15,-118.30879207,34.06141494,California/Los Angeles/3790 Wilshire Blvd./time_zone:America/Los_Angeles,90010
KovZpZAEd1IA-16,-118.849491,34.175071,California/Thousand Oaks/2100 E. Thousand Oaks/time_zone:America/Los_Angeles,91362
KovZpZAEA67A-17,-117.9229975,33.8095868,California/Anaheim/400 W Disney Way/time_zone:America/Los_Angeles,92802
Z7r9jZae0Q-18,-118.2407,34.0443,California/Los Angeles/448 S. Main St./time_zone:America/Los_Angeles,90013
ZFr9jZeFAd-19,-118.3815,34.0942,California/West Hollywood/9081 Santa Monica Blvd./time_zone:America/Los_Angeles,90069
ZFr9jZe6vA-20,-118.2649,34.053101,California/Los Angeles/1111 S. Figueroa St./time_zone:America/Los_Angeles,90017
KovZpZAJvttA-21,-118.2592392,34.04024506,California/Los Angeles/1050 South Hill Street/time_zone:America/Los_Angeles,90015
Zkr9jZd7eq-23,-118.2388,34.0658,California/Los Angeles/135 N. Grand Avenue/time_zone:America/Los_Angeles,90012
KovZpZAEAlaA-24,-118.32421313,34.09850537,California/Hollywood/6215 Sunset Blvd/time_zone:America/Los_Angeles,90028
KovZpZAEAlaA-25,-118.32421313,34.09850537,California/Hollywood/6215 Sunset Blvd/time_zone:America/Los_Angeles,90028
ZFr9jZ6dAF-26,-118.266403,34.0397,California/Los Angeles/800 West Olympic Blvd/time_zone:America/Los_Angeles,90015
KovZpZAEA67A-27,-117.9229975,33.8095868,California/Anaheim/400 W Disney Way/time_zone:America/Los_Angeles,92802
KovZpZAF6EaA-28,-117.9047684,33.6638834,California/Costa Mesa/100 Fair Drive/time_zone:America/Los_Angeles,92626
KovZpZAallkA-29,-119.1891261,34.1938402,California/Oxnard/800 Hobson Way/time_zone:America/Los_Angeles,93030
KovZpa3uie-30,-118.3748306,34.0648579,California/Beverly Hills/8440 Wilshire Blvd/time_zone:America/Los_Angeles,90211
KovZpZA77elA-31,-120.62933832,35.64581971,California/Paso Robles/3800 Mill Road/time_zone:America/Los_Angeles,93446
KovZpZAEAlaA-32,-118.32421313,34.09850537,California/Hollywood/6215 Sunset Blvd/time_zone:America/Los_Angeles,90028
ZFr9jZk7d6-33,-118.266403,34.0397,California/Los Angeles/777 Chick Hearn Court/time_zone:America/Los_Angeles,90015
KovZpZAEAl6A-35,-118.30879207,34.06141494,California/Los Angeles/3790 Wilshire Blvd./time_zone:America/Los_Angeles,90010
KovZpZAEAlaA-36,-118.32421313,34.09850537,California/Hollywood/6215 Sunset Blvd/time_zone:America/Los_Angeles,90028
KovZpZAFAtkA-37,-118.44533,34.065029,California/Los Angeles/10745 Dickson Court/time_zone:America/Los_Angeles,90095
KovZpZAEA67A-38,-117.9229975,33.8095868,California/Anaheim/400 W Disney Way/time_zone:America/Los_Angeles,92802
ZFr9jZeA6a-39,-118.3815,34.0942,California/West Hollywood/9009 Sunset Blvd/time_zone:America/Los_Angeles,90069
KovZ917ACN0-40,-118.108412,34.098319,California/San Gabriel/320 South Mission Drive/time_zone:America/Los_Angeles,91776
KovZpa3uCe-41,-118.25558624,34.04263554,California/Los Angeles/842 S. Broadway /time_zone:America/Los_Angeles,90014
KovZpZAF6JkA-42,-117.9175717,33.6997648,California/Santa Ana/3503 S. Harbor Blvd./time_zone:America/Los_Angeles,92704
KovZpZAF6JkA-43,-117.9175717,33.6997648,California/Santa Ana/3503 S. Harbor Blvd./time_zone:America/Los_Angeles,92704
KovZpZAEAlaA-44,-118.32421313,34.09850537,California/Hollywood/6215 Sunset Blvd/time_zone:America/Los_Angeles,90028
KovZpa3uCe-45,-118.25558624,34.04263554,California/Los Angeles/842 S. Broadway /time_zone:America/Los_Angeles,90014
Z6r9jZFdee-47,-118.326897,34.0998,California/Los Angeles/6126 Hollywood Blvd./time_zone:America/Los_Angeles,90028
KovZpZAEA67A-48,-117.9229975,33.8095868,California/Anaheim/400 W Disney Way/time_zone:America/Los_Angeles,92802
KovZpZAEAl6A-49,-118.30879207,34.06141494,California/Los Angeles/3790 Wilshire Blvd./time_zone:America/Los_Angeles,90010
KovZpa3uie-50,-118.3748306,34.0648579,California/Beverly Hills/8440 Wilshire Blvd/time_zone:America/Los_Angeles,90211
KovZpZAF6EaA-51,-117.9047684,33.6638834,California/Costa Mesa/100 Fair Drive/time_zone:America/Los_Angeles,92626
KovZpZAF6JkA-53,-117.9175717,33.6997648,California/Santa Ana/3503 S. Harbor Blvd./time_zone:America/Los_Angeles,92704
KovZpa3uCe-54,-118.25558624,34.04263554,California/Los Angeles/842 S. Broadway /time_zone:America/Los_Angeles,90014
KovZpZAEAl6A-56,-118.30879207,34.06141494,California/Los Angeles/3790 Wilshire Blvd./time_zone:America/Los_Angeles,90010
KovZpa3uCe-57,-118.25558624,34.04263554,California/Los Angeles/842 S. Broadway /time_zone:America/Los_Angeles,90014
KovZpZA1vvlA-58,-117.1059,33.455577,California/Temecula/45000 Pechanga Parkway/time_zone:America/Los_Angeles,92592
KovZpZAFFvIA-59,-117.899463,33.6666079,California/Costa Mesa/88 Fair Drive/time_zone:America/Los_Angeles,92626
KovZpZAEA67A-60,-117.9229975,33.8095868,California/Anaheim/400 W Disney Way/time_zone:America/Los_Angeles,92802
ZFr9jZeaF7-61,-118.3815,34.0942,California/West Hollywood/8901 W Sunset Blvd/time_zone:America/Los_Angeles,90069
ZFr9jZaAv1-63,-118.436996,34.065701,California/Los Angeles/10886 Le Conte Avenue/time_zone:America/Los_Angeles,90024
ZFr9jZdF1d-67,-118.254097,33.866901,California/Carson/18400 Avalon Boulevard/time_zone:America/Los_Angeles,90747
KovZpZAaaaEA-68,-116.80553543,33.92210864,California/Cabazon/49500 Seminole Dr/time_zone:America/Los_Angeles,92230
ZFr9jZeFAd-69,-118.3815,34.0942,California/West Hollywood/9081 Santa Monica Blvd./time_zone:America/Los_Angeles,90069
KovZpa3uCe-72,-118.25558624,34.04263554,California/Los Angeles/842 S. Broadway /time_zone:America/Los_Angeles,90014
KovZpZAF6JkA-73,-117.9175717,33.6997648,California/Santa Ana/3503 S. Harbor Blvd./time_zone:America/Los_Angeles,92704
Z6r9jZ76ve-74,-117.605003,33.524101,California/San Juan Capistrano/33157 Camino Capistrano/time_zone:America/Los_Angeles,92675
ZFr9jZeA6a-75,-118.3815,34.0942,California/West Hollywood/9009 Sunset Blvd/time_zone:America/Los_Angeles,90069
KovZpZAEA6lA-76,-117.37533193,33.98376036,California/Riverside/3801 Mission Inn Avenue/time_zone:America/Los_Angeles,92501
Z6r9jZFdee-79,-118.326897,34.0998,California/Los Angeles/6126 Hollywood Blvd./time_zone:America/Los_Angeles,90028
KovZpZAFFvIA-80,-117.899463,33.6666079,California/Costa Mesa/88 Fair Drive/time_zone:America/Los_Angeles,92626
Z6r9jZ6Fde-81,-118.292,34.125198,California/Los Angeles/2700 N. Vermont Ave./time_zone:America/Los_Angeles,90027
ZFr9jZevvA-82,-118.2388,34.0658,California/Los Angeles/135 N. Grand Avenue/time_zone:America/Los_Angeles,90012
ZFr9jZed1a-83,-118.139297,34.1465,California/Pasadena/39 S. El Molino Ave./time_zone:America/Los_Angeles,91101
Z6r9jZF1Ae-86,-117.786797,33.574501,California/Laguna Beach/650 Laguna Canyon Rd./time_zone:America/Los_Angeles,92651
KovZpZAallkA-87,-119.1891261,34.1938402,California/Oxnard/800 Hobson Way/time_zone:America/Los_Angeles,93030
KovZpZAEA67A-88,-117.9229975,33.8095868,California/Anaheim/400 W Disney Way/time_zone:America/Los_Angeles,92802
Z6r9jZAF6e-89,-118.2388,34.0658,California/Los Angeles/135 N. Grand Avenue/time_zone:America/Los_Angeles,90012
KovZpZAEA6lA-90,-117.37533193,33.98376036,California/Riverside/3801 Mission Inn Avenue/time_zone:America/Los_Angeles,92501
KovZpa3uie-91,-118.3748306,34.0648579,California/Beverly Hills/8440 Wilshire Blvd/time_zone:America/Los_Angeles,90211
KovZpZAF6JkA-92,-117.9175717,33.6997648,California/Santa Ana/3503 S. Harbor Blvd./time_zone:America/Los_Angeles,92704
Z6r9jZFdee-93,-118.326897,34.0998,California/Los Angeles/6126 Hollywood Blvd./time_zone:America/Los_Angeles,90028
ZFr9jZ1a16-94,-118.266403,34.0397,California/Los Angeles/929 Broadway/time_zone:America/Los_Angeles,90015
KovZpZAF6JkA-95,-117.9175717,33.6997648,California/Santa Ana/3503 S. Harbor Blvd./time_zone:America/Los_Angeles,92704
ZFr9jZeaF7-96,-118.3815,34.0942,California/West Hollywood/8901 W Sunset Blvd/time_zone:America/Los_Angeles,90069
ZFr9jZke7a-99,-118.263702,34.0788,California/Los Angeles/1154 Glendale Blvd/time_zone:America/Los_Angeles,90026
KovZpa3uie-100,-118.3748306,34.0648579,California/Beverly Hills/8440 Wilshire Blvd/time_zone:America/Los_Angeles,90211
KovZpZAE7dFA-101,-118.849491,34.175071,California/Thousand Oaks/2100 E. Thousand Oaks Blvd/time_zone:America/Los_Angeles,91362
KovZpZAE7dFA-102,-118.849491,34.175071,California/Thousand Oaks/2100 E. Thousand Oaks Blvd/time_zone:America/Los_Angeles,91362
KovZpZAEA6FA-103,-117.3712786,33.9818337,California/Riverside/3485 Mission Inn Ave/time_zone:America/Los_Angeles,92501
KovZpZAdtaEA-105,-118.34020235,34.10177237,California/Hollywood/6801 Hollywood Blvd./time_zone:America/Los_Angeles,90028
ZFr9jZke7a-108,-118.263702,34.0788,California/Los Angeles/1154 Glendale Blvd/time_zone:America/Los_Angeles,90026
ZFr9jZd7ve-109,-117.870796,33.839298,California/Anaheim/2200 East Katella Ave/time_zone:America/Los_Angeles,92806
KovZpZAEA67A-110,-117.9229975,33.8095868,California/Anaheim/400 W Disney Way/time_zone:America/Los_Angeles,92802
KovZpa3uxe-113,-118.754551,34.144278,California/Agoura Hills/28912 Roadside Dr/time_zone:America/Los_Angeles,91301
KovZpZAJE1vA-114,-118.252544,34.046375,California/Los Angeles/630 S Broadway/time_zone:America/Los_Angeles,90014
KovZpa3uie-115,-118.3748306,34.0648579,California/Beverly Hills/8440 Wilshire Blvd/time_zone:America/Los_Angeles,90211
KovZpZAEAlaA-117,-118.32421313,34.09850537,California/Hollywood/6215 Sunset Blvd/time_zone:America/Los_Angeles,90028
ZFr9jZeFAd-118,-118.3815,34.0942,California/West Hollywood/9081 Santa Monica Blvd./time_zone:America/Los_Angeles,90069
ZFr9jZ6dAF-119,-118.266403,34.0397,California/Los Angeles/800 West Olympic Blvd/time_zone:America/Los_Angeles,90015
ZFr9jZaFeF-124,-118.326599,34.088902,California/Los Angeles/6000 Santa Monica Blvd./time_zone:America/Los_Angeles,90038
KovZpZAJE1vA-126,-118.252544,34.046375,California/Los Angeles/630 S Broadway/time_zone:America/Los_Angeles,90014
KovZpZAEAl6A-130,-118.30879207,34.06141494,California/Los Angeles/3790 Wilshire Blvd./time_zone:America/Los_Angeles,90010
KovZ917ALgx-131,-117.694337,34.086816,California/Montclair/5060 E. Montclair Plaza/time_zone:America/Los_Angeles,91764
ZFr9jZedAe-133,-117.908699,33.6791,California/Costa Mesa/600 Towne Center Dr./time_zone:America/Los_Angeles,92626
KovZpZAFFvIA-134,-117.899463,33.6666079,California/Costa Mesa/88 Fair Drive/time_zone:America/Los_Angeles,92626
KovZpZAFFvIA-135,-117.899463,33.6666079,California/Costa Mesa/88 Fair Drive/time_zone:America/Los_Angeles,92626
ZFr9jZedAe-136,-117.908699,33.6791,California/Costa Mesa/600 Towne Center Dr./time_zone:America/Los_Angeles,92626
KovZpZAdtaEA-137,-118.34020235,34.10177237,California/Hollywood/6801 Hollywood Blvd./time_zone:America/Los_Angeles,90028
KovZpZAEA67A-138,-117.9229975,33.8095868,California/Anaheim/400 W Disney Way/time_zone:America/Los_Angeles,92802
KovZpZAF6JkA-139,-117.9175717,33.6997648,California/Santa Ana/3503 S. Harbor Blvd./time_zone:America/Los_Angeles,92704
KovZpa3uCe-143,-118.25558624,34.04263554,California/Los Angeles/842 S. Broadway /time_zone:America/Los_Angeles,90014
Z6r9jZkv7e-145,-118.349998,34.070202,California/Los Angeles/5515 Wilshire Blvd./time_zone:America/Los_Angeles,90036
KovZpZAEA6lA-147,-117.37533193,33.98376036,California/Riverside/3801 Mission Inn Avenue/time_zone:America/Los_Angeles,92501
KovZpZAF6JkA-148,-117.9175717,33.6997648,California/Santa Ana/3503 S. Harbor Blvd./time_zone:America/Los_Angeles,92704
KovZpZAdJIeA-153,-118.144217,34.1438289,California/Pasadena/300 E Green St./time_zone:America/Los_Angeles,91101
KovZpZAFFvIA-155,-117.899463,33.6666079,California/Costa Mesa/88 Fair Drive/time_zone:America/Los_Angeles,92626
KovZpZAEA6FA-157,-117.3712786,33.9818337,California/Riverside/3485 Mission Inn Ave/time_zone:America/Los_Angeles,92501
Z7r9jZadbo-158,-118.239197,34.028702,California/Los Angeles/1720 E 16th St/time_zone:America/Los_Angeles,90021
KovZ917AOKx-159,-118.310127,34.206458,California/Burbank/1249 Lockheed View Dr/time_zone:America/Los_Angeles,91501
KovZ917AGff-160,-117.917493,33.699879,California/Santa Ana/3503 South Harbor Boulevard/time_zone:America/Los_Angeles,92704
KovZpZAE7dFA-161,-118.849491,34.175071,California/Thousand Oaks/2100 E. Thousand Oaks Blvd/time_zone:America/Los_Angeles,91362
KovZ917AGff-162,-117.917493,33.699879,California/Santa Ana/3503 South Harbor Boulevard/time_zone:America/Los_Angeles,92704
KovZpZAEl6JA-163,-118.145052,34.144558,California/Pasadena/245 East Green Street/time_zone:America/Los_Angeles,91101
KovZ917ALgx-168,-117.694337,34.086816,California/Montclair/5060 E. Montclair Plaza/time_zone:America/Los_Angeles,91764
KovZ917A8p0-169,-118.558256,34.414751,California/Santa Clarita/24201 Valencia Blvd #1351/time_zone:America/Los_Angeles,91355
KovZpZAEd1IA-170,-118.849491,34.175071,California/Thousand Oaks/2100 E. Thousand Oaks/time_zone:America/Los_Angeles,91362
KovZpa3uxe-179,-118.754551,34.144278,California/Agoura Hills/28912 Roadside Dr/time_zone:America/Los_Angeles,91301
Z6r9jZ76ve-180,-117.605003,33.524101,California/San Juan Capistrano/33157 Camino Capistrano/time_zone:America/Los_Angeles,92675
KovZpZAEAl6A-181,-118.30879207,34.06141494,California/Los Angeles/3790 Wilshire Blvd./time_zone:America/Los_Angeles,90010
KovZpZAF6JkA-184,-117.9175717,33.6997648,California/Santa Ana/3503 S. Harbor Blvd./time_zone:America/Los_Angeles,92704
KovZpZAFFvIA-185,-117.899463,33.6666079,California/Costa Mesa/88 Fair Drive/time_zone:America/Los_Angeles,92626
KovZpZAJed6A-186,-118.189191,33.764882,California/Long Beach/300 E Ocean BL/time_zone:America/Los_Angeles,90802
KovZpZAEd1IA-187,-118.849491,34.175071,California/Thousand Oaks/2100 E. Thousand Oaks/time_zone:America/Los_Angeles,91362
KovZpZAJed6A-188,-118.189191,33.764882,California/Long Beach/300 E Ocean BL/time_zone:America/Los_Angeles,90802
