time_serial,date_YMD
lz1-vv16aZAr6AaZA86Fee,2020-06-17
lz2-vvG1iZ4gUsesPj,2020-08-07
lz3-vv170ZpeGkl5u77h,2020-05-30
lz4-vv1ke8v9P_GA1Qxqo,2020-11-15
lz5-Z7r9jZ1AejdvP,2020-11-08
lz8-vvG1iZp7bKOkki,2020-07-18
lz9-vv1AaZA-_GkdTTUVW,2020-05-23
lz10-vvG1iZ4zSNmVvn,2020-09-12
lz11-Z7r9jZ1Ae0xaw,2020-10-18
lz12-vvG1iZ4ImlwSu4,2020-12-02
lz13-Z7r9jZ1AeO6a_,2020-10-03
lz14-vvG1iZ4nhMLNKf,2020-10-10
lz15-vv170Z4UGkmJvAnQ,2020-06-20
lz16-vvG1iZ4gMkJozQ,2020-09-11
lz17-vv1AaZA-6GkdP79PV,2020-07-25
lz18-Z7r9jZ1Ae-V3A,2020-07-07
lz19-Z7r9jZ1AeOwGz,2020-09-03
lz20-Z7r9jZ1AePoaS,2020-10-10
lz21-vv1F0ZpAFdugZduG7,2020-09-21
lz23-Z7r9jZ1Aeqdq4,2020-07-23
lz24-vv170ZpdGkSLVga9,2020-08-12
lz25-vv16aZA-potZA8F28k,2020-10-27
lz26-Z7r9jZ1Ae-J3v,2020-09-26
lz27-vv1AaZAq4GkdnIgUo,2020-06-25
lz28-vvG1iZpk3ieJJF,2020-07-11
lz29-vv1AaZA-0GkdyS6aq,2020-06-27
lz30-vvG1iZpeDLadBc,2020-06-20
lz31-vv170ZpdGkmy7dit,2020-08-20
lz32-vv1ke8vbfsGAu8ku6,2020-08-15
lz33-Z7r9jZ1Ae0ab-,2020-10-02
lz35-vv1AaZA-kGkdwXpTY,2020-07-23
lz36-vv1k0ZpAG9G7VJae,2020-06-19
lz37-vvG1iZ4mpekv3h,2020-05-10
lz38-vv170Z4UGkTgLkW9,2020-07-18
lz39-Z7r9jZ1Aex7jx,2020-10-26
lz40-vvG1iZp7S9fgib,2020-05-09
lz41-vv1AaZA-fGkePGSb0,2020-08-28
lz42-vv1k0Zp77FG7l0WL,2020-05-14
lz43-vv1AaZAq-GkdsXAUp,2020-10-01
lz44-vv170Zp7Gkn2wSe5,2020-06-20
lz45-vv1AaZA-KGkdzZgmS,2020-05-13
lz47-Z7r9jZ1AexvAO,2020-12-13
lz48-vv170ZpdGkz-9U--,2020-09-17
lz49-vv1AaZA-bGkdjuJNL,2020-07-18
lz50-vvG1iZ4ER5HSrU,2020-10-11
lz51-vvG1iZ4MKDUwP7,2020-08-09
lz53-vv1AaZAqwGkdkFgBW,2020-08-01
lz54-vv1AaZA-kGkdrek-B,2020-10-17
lz56-vv1AaZA-oGkdQK0X2,2020-09-04
lz57-vvG10Z4lUnlxD-,2021-03-28
lz58-vvG1IZ4gdcN7_D,2020-06-26
lz59-vvG1iZ4MJtHoBR,2020-07-24
lz60-vv1AaZA--GketS3wP,2020-11-12
lz61-Z7r9jZ1Ae-d4t,2020-05-01
lz63-Z7r9jZ1Ae088s,2020-07-09
lz67-Z7r9jZ1AePk_F,2020-09-12
lz68-vv1aaZAOV0JjpZeGF,2020-04-24
lz69-Z7r9jZ1Ae04q_,2020-10-25
lz72-vv1AaZAOsGkewseWG,2020-09-26
lz73-vv1AaZA-7GkdTJp1Q,2020-05-21
lz74-Z7r9jZ1AexAoO,2020-05-08
lz75-Z7r9jZ1Ae-VZ6,2020-07-14
lz76-vvG1iZp7DHvpfZ,2020-05-11
lz79-Z7r9jZ1AexfrK,2020-08-06
lz80-vvG1iZpdxKAS5g,2020-07-29
lz81-Z7r9jZ1Ae0UGy,2020-07-29
lz82-Z7r9jZ1Ae0yvU,2020-07-29
lz83-Z7r9jZ1Aex338,2020-07-30
lz86-Z7r9jZ1Ae-0uo,2020-09-01
lz87-vv1AaZA-0GkdzrMF8,2020-09-19
lz88-vv1k0Zpd0OG7mkgt,2020-09-09
lz89-Z7r9jZ1Ae0x8I,2020-09-26
lz90-vvG1iZpdNK9fs_,2020-05-08
lz91-vvG1iZ4zMRWPFD,2021-02-26
lz92-vv1ke8vbCfGA25EpL,2020-05-16
lz93-Z7r9jZ1Ae0k4S,2020-10-15
lz94-Z7r9jZ1AexZZF,2020-08-21
lz95-vv170ZpdGkTQKUzX,2020-06-01
lz96-Z7r9jZ1AeOYFt,2020-05-29
lz99-Z7r9jZ1AePIut,2021-04-11
lz100-vvG1iZpddIJf6d,2020-07-31
lz101-vvG1iZperQkswr,2020-09-25
lz102-vvG1iZ4YkCnvs6,2020-07-24
lz103-vvG1iZpkQcw0n7,2020-05-22
lz105-vv1AaZArdGkd5NgC8,2021-01-17
lz108-Z7r9jZ1AexZ7s,2020-07-18
lz109-Z7r9jZ1Ae0auz,2020-08-06
lz110-vv170Z4yGknibeik,2020-10-29
lz113-vv1AaZA-bGkdEAUne,2020-10-08
lz114-vv1AaZAOsGkdP409Q,2020-05-28
lz115-vvG1iZpdeBvKJl,2020-07-10
lz117-vv1AaZAOJGkdYlSTf,2020-05-08
lz118-Z7r9jZ1Ae-su9,2020-07-13
lz119-Z7r9jZ1Aexa0b,2020-08-21
lz124-Z7r9jZ1Ae06_N,2020-07-30
lz126-vv1ke8vbo_GA1Bd5c,2020-09-04
lz130-vv170Zp7GkH3UM10,2020-05-03
lz131-vv1AaZArfGkdC14P7,2020-06-06
lz133-Z7r9jZ1AePSfP,2021-07-18
lz134-vvG1iZpdM4C0xJ,2020-08-02
lz135-vvG1iZpAJSTV0b,2020-08-05
lz136-Z7r9jZ1AePSoM,2021-02-25
lz137-vv1AaZArkGkd_Fp3d,2020-06-13
lz138-vv1ke8vb38GAuQ71C,2020-10-15
lz139-vv170Zp7GkBPi0OV,2020-05-30
lz143-vv1AaZA-PGkezkVzC,2020-07-25
lz145-Z7r9jZ1AexZx7,2021-04-07
lz147-vvG1iZpeLK-wbt,2020-10-09
lz148-vv1AaZA-_GkdpoPU1,2020-06-06
lz153-vvG1iZ4zJLFxUx,2020-11-05
lz155-vvG1iZpdxKOdGx,2020-08-06
lz157-vvG1iZp7Tg2fVl,2020-05-01
lz158-Z7r9jZ1AeJ6bF,2021-03-14
lz159-vv170ZpdGkSR64pr,2020-07-26
lz160-vv170ZpAGkYuGEcu,2020-06-06
lz161-vvG1iZ4ISwmVIJ,2020-09-20
lz162-vv170Zp7GknrHdmt,2020-05-21
lz163-vv170ZpdGkMlag63,2020-06-26
lz168-vv1AaZAqJGkeltKCY,2020-06-05
lz169-vv170Z4zGkMYJzGp,2020-08-14
lz170-vvG1iZpdM1VfpP,2020-06-05
lz179-vv16aZAOsZvZACkAk6,2020-08-01
lz180-Z7r9jZ1AeOzPN,2020-05-03
lz181-vv1k0ZpA8dG7UJpo,2020-11-04
lz184-vv1AaZA-kGkdGVkZ6,2020-05-22
lz185-vvG1iZpAJUefJU,2020-08-09
lz186-vvG1iZ4Vn6XoRO,2020-06-12
lz187-vvG1iZpkMlc7VL,2020-06-20
lz188-vvG1iZ4MCjR-fc,2020-06-12
